attribute,layer,pair_group,pair_count,t1_route_overlap,t2_route_overlap,branching_score
company_city,7,same_t2,42000,0.3666507936509478,0.4407857142857857,-0.0741349206348379
company_city,8,different_t2,40000,0.3558916666667857,0.5114083333333291,-0.15551666666654346
company_city,8,same_t2,42000,0.370357142857296,0.5772539682538488,-0.2068968253965528
company_city,9,different_t2,40000,0.45771666666670835,0.4848916666666698,-0.027174999999961424
company_city,9,same_t2,42000,0.4707222222221919,0.5803730158728903,-0.10965079365069835
company_city,10,different_t2,40000,0.29598333333339466,0.3374000000000933,-0.04141666666669863
company_city,10,same_t2,42000,0.3038095238096011,0.4553333333333684,-0.15152380952376732
company_city,11,different_t2,40000,0.4586083333334058,0.41014166666684193,0.04846666666656385
company_city,11,same_t2,42000,0.46357936507936953,0.5002777777777413,-0.03669841269837176
major,0,different_t2,30000,0.8693555555554136,0.34678888888891196,0.5225666666665016
major,0,same_t2,40000,0.8725999999998497,0.8579499999998874,0.014649999999962304
major,1,different_t2,30000,0.9320444444443997,0.31504444444443636,0.6169999999999634
major,1,same_t2,40000,0.8989333333333294,0.9278833333333004,-0.028949999999971054
major,2,different_t2,30000,0.7779333333332316,0.42636666666675016,0.3515666666664814
major,2,same_t2,40000,0.759324999999794,0.8002416666664942,-0.04091666666670024
major,3,different_t2,30000,0.6149777777777579,0.2987444444444022,0.3162333333333557
major,3,same_t2,40000,0.6492833333331112,0.6045416666664899,0.04474166666662127
major,4,different_t2,30000,0.49682222222236067,0.2687333333332738,0.22808888888908685
major,4,same_t2,40000,0.5001249999999551,0.4070500000001435,0.09307499999981156
major,5,different_t2,30000,0.43434444444454906,0.3902888888889502,0.04405555555559887
major,5,same_t2,40000,0.43439166666674783,0.4581250000000212,-0.023733333333273376
major,6,different_t2,30000,0.4039444444445252,0.3055888888888631,0.09835555555566211
major,6,same_t2,40000,0.43024166666677854,0.396250000000147,0.03399166666663156
major,7,different_t2,30000,0.5599777777779047,0.32593333333333707,0.23404444444456762
major,7,same_t2,40000,0.5615666666665303,0.5605749999998688,0.000991666666661506
major,8,different_t2,30000,0.4052666666667523,0.4037333333334016,0.001533333333350706
major,8,same_t2,40000,0.4589750000000546,0.4466833333333929,0.012291666666661705
major,9,different_t2,30000,0.4637777777779194,0.43978888888897216,0.023988888888947235
major,9,same_t2,40000,0.4967166666666647,0.5064833333332763,-0.009766666666611634
major,10,different_t2,30000,0.49391111111129454,0.4085888888889632,0.08532222222233132
major,10,same_t2,40000,0.5530583333331175,0.5036999999999273,0.049358333333190174
major,11,different_t2,30000,0.7690222222221537,0.34490000000001664,0.424122222222137
major,11,same_t2,40000,0.7268166666665118,0.4909416666666928,0.23587499999981898
university,0,different_t2,40000,0.9763333333333422,0.26747500000002644,0.7088583333333157
university,0,same_t2,40000,0.9757666666666753,0.8163499999998657,0.15941666666680965
university,1,different_t2,40000,0.9871666666666815,0.23754166666665855,0.749625000000023
university,1,same_t2,40000,0.9882000000000136,0.8583333333332613,0.12986666666675228
university,2,different_t2,40000,0.7409916666664682,0.5030166666666506,0.23797499999981764
university,2,same_t2,40000,0.7400583333331399,0.7147583333331542,0.025299999999985667
university,3,different_t2,40000,0.4567916666667147,0.2673750000000274,0.18941666666668733
university,3,same_t2,40000,0.46043333333338216,0.5767333333332336,-0.11629999999985147
university,4,different_t2,40000,0.3368500000001031,0.27981666666670946,0.057033333333393665
university,4,same_t2,40000,0.3336833333334344,0.4341000000001028,-0.10041666666666837
university,5,different_t2,40000,0.3697416666668001,0.29595000000006016,0.07379166666673992
university,5,same_t2,40000,0.37049166666679956,0.41115833333348417,-0.040666666666684614
university,6,different_t2,40000,0.255975000000012,0.3818166666668229,-0.1258416666668109
university,6,same_t2,40000,0.25456666666667765,0.4694500000000334,-0.21488333333335574
university,7,different_t2,40000,0.3469333333334407,0.28715833333338353,0.059775000000057144
university,7,same_t2,40000,0.3424666666667676,0.43589166666675655,-0.09342499999998893
university,8,different_t2,40000,0.354625000000113,0.46815833333337786,-0.11353333333326487
