W0721 04:56:13.632000 191456 torch/distributed/run.py:793] 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0721 04:56:13.632000 191456 torch/distributed/run.py:793] *****************************************
[init] run=synbios_moe_single_fsdp_4gpu device=cuda:0 strategy=fsdp world=4 params=293494272
[parallel_ready] {"event": "parallel_ready", "strategy": "fsdp", "fsdp_units": 13, "auto_wrap_policy": "transformer_block", "sharding_strategy": "full_shard"}
[train] batch 8/32 | epoch 5/540 | loss 1.29652 | lr 1.360e-04 | grad 0.233 | data-wait 0.2% | tok/s 347,101.3 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 0.8% | ETA 3:15:54
[train] batch 12/32 | epoch 5/540 | loss 1.27308 | lr 1.400e-04 | grad 0.198 | data-wait 0.2% | tok/s 346,106.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 0.8% | ETA 3:15:40
[train] batch 16/32 | epoch 5/540 | loss 1.25094 | lr 1.440e-04 | grad 0.179 | data-wait 0.2% | tok/s 350,547.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 0.8% | ETA 3:15:23
[train] batch 20/32 | epoch 5/540 | loss 1.23045 | lr 1.480e-04 | grad 0.215 | data-wait 0.2% | tok/s 349,111.0 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 0.9% | ETA 3:15:07
[train] batch 24/32 | epoch 5/540 | loss 1.19947 | lr 1.520e-04 | grad 0.265 | data-wait 0.2% | tok/s 347,159.5 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 0.9% | ETA 3:14:54
[train] batch 28/32 | epoch 5/540 | loss 1.16316 | lr 1.560e-04 | grad 0.188 | data-wait 0.1% | tok/s 348,255.2 | gpu-peak 20.39/23.65 GiB | gpu-util 98.4% | 0.9% | ETA 3:14:41
[train] batch 32/32 | epoch 5/540 | loss 1.14905 | lr 1.600e-04 | grad 0.132 | data-wait 0.0% | tok/s 352,040.5 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 0.9% | ETA 3:14:25
[train] batch 4/32 | epoch 6/540 | loss 1.14274 | lr 1.640e-04 | grad 0.130 | data-wait 0.7% | tok/s 342,583.1 | gpu-peak 20.39/23.65 GiB | gpu-util 95.8% | 0.9% | ETA 3:14:17
[train] batch 8/32 | epoch 6/540 | loss 1.13601 | lr 1.680e-04 | grad 0.147 | data-wait 0.2% | tok/s 350,083.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 1.0% | ETA 3:14:04
[train] batch 12/32 | epoch 6/540 | loss 1.13098 | lr 1.720e-04 | grad 0.142 | data-wait 0.2% | tok/s 351,595.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.3% | 1.0% | ETA 3:13:50
[train] batch 16/32 | epoch 6/540 | loss 1.12400 | lr 1.760e-04 | grad 0.139 | data-wait 0.2% | tok/s 347,598.8 | gpu-peak 20.39/23.65 GiB | gpu-util 98.5% | 1.0% | ETA 3:13:40
