category,filename,bytes,modified_utc,sha256,mounted_path,git_safe_path
engineering_validation,kernel_quality_r2_20260725T084600Z.log,29237,2026-07-25T08:48:41.698065+00:00,c3c1d59aac902dcd3635f029d69fb3751118fbbf357112fd8997bbbd36be41be,/data/mini-train-sys/artifacts/logs/kernel_quality_r2_20260725T084600Z.log,results/logs/benchmarks/kernel_quality_r2_20260725T084600Z.log
engineering_validation,kernel_quality_r2_20260725T084600Z.status,2,2026-07-25T08:48:54.954110+00:00,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,/data/mini-train-sys/artifacts/logs/kernel_quality_r2_20260725T084600Z.status,results/logs/benchmarks/kernel_quality_r2_20260725T084600Z.status
pretraining_validation,multi5_cloze_full_gpu0_20260721.log,30104,2026-07-21T10:53:12.599583+00:00,a7b086ed7244dde13f682a97c9e7c4b7f3ab25a254c771e44e52e0a5efa6541e,/data/mini-train-sys/artifacts/logs/multi5_cloze_full_gpu0_20260721.log,results/logs/experiments/multi5_cloze_full_gpu0_20260721.log
pretraining_validation,multi5_cloze_full_gpu1_20260721.log,29931,2026-07-21T10:53:05.183607+00:00,98a42d91342e159d351fa87c4d3a55b767748dbd1a0b8a66b469d8e92a65987b,/data/mini-train-sys/artifacts/logs/multi5_cloze_full_gpu1_20260721.log,results/logs/experiments/multi5_cloze_full_gpu1_20260721.log
pretraining_validation,multi5_cloze_full_gpu2_20260721.log,29759,2026-07-21T10:52:46.835664+00:00,a87d1412ed08d030f0d08115478b8b70f9ed78b8630e9a6d2beab8cc6852d470,/data/mini-train-sys/artifacts/logs/multi5_cloze_full_gpu2_20260721.log,results/logs/experiments/multi5_cloze_full_gpu2_20260721.log
pretraining_validation,multi5_cloze_full_gpu3_20260721.log,29739,2026-07-21T10:53:01.255619+00:00,239853a980749944c86f0ef2a53f84ad19c86af9fbca9cab78ce38740a33a23e,/data/mini-train-sys/artifacts/logs/multi5_cloze_full_gpu3_20260721.log,results/logs/experiments/multi5_cloze_full_gpu3_20260721.log
engineering_validation,multi5_results_validation_20260721.log,1362,2026-07-21T11:03:03.245865+00:00,4b2511b6583ebcb20b56a3de666f0aec2d97fd654ece823d6a9d36225d8cc221,/data/mini-train-sys/artifacts/logs/multi5_results_validation_20260721.log,results/logs/validation/multi5_results_validation_20260721.log
engineering_validation,multi5_results_validation_20260721.status,1,2026-07-21T11:03:03.253865+00:00,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,/data/mini-train-sys/artifacts/logs/multi5_results_validation_20260721.status,results/logs/validation/multi5_results_validation_20260721.status
engineering_validation,prelaunch_full_tests.log,1282,2026-07-20T20:11:26.001007+00:00,f31c81b5f933fe799a3e8f11b832f2d38786d9160ef26178a6b104528bf96961,/data/mini-train-sys/artifacts/logs/prelaunch_full_tests.log,results/logs/validation/prelaunch_full_tests.log
engineering_validation,prepush_validation_20260721-1333.log,1282,2026-07-21T05:34:23.103087+00:00,fa44e86d04163fbcbdd5a19582bd45b4465937d7925592081df5f024c95b50f9,/data/mini-train-sys/artifacts/logs/prepush_validation_20260721-1333.log,results/logs/validation/prepush_validation_20260721-1333.log
probe,probe_capacity_multi5_20260723_1402.log,599,2026-07-23T06:03:22.686906+00:00,3086025fee70748cc8f520c71d6fa87097d77d294936e24feffacbf6bca188f4,/data/mini-train-sys/artifacts/logs/probe_capacity_multi5_20260723_1402.log,results/logs/benchmarks/probe_capacity_multi5_20260723_1402.log
probe,probe_capacity_multi5_r2_20260723_1404.log,635,2026-07-23T06:05:59.216037+00:00,bf224e3b6d86316840abf653a2b759360fed2476619479dce0bc7ffe30affc1a,/data/mini-train-sys/artifacts/logs/probe_capacity_multi5_r2_20260723_1404.log,results/logs/benchmarks/probe_capacity_multi5_r2_20260723_1404.log
probe,probe_capacity_multi5_r3_20260723_1406.log,7511,2026-07-23T06:09:41.591852+00:00,3d23a30f0b9582544082a74d3d7cfcc8d71198e21eeb465b3f39be83c0201058,/data/mini-train-sys/artifacts/logs/probe_capacity_multi5_r3_20260723_1406.log,results/logs/benchmarks/probe_capacity_multi5_r3_20260723_1406.log
probe,probe_diagnostic_oracle_multi5_20260724_0035.log,66909,2026-07-23T16:38:19.581481+00:00,03a868129a00337d69e20980a2468206ce4eadcea9bb0a9ba3f26ce98e4791e7,/data/mini-train-sys/artifacts/logs/probe_diagnostic_oracle_multi5_20260724_0035.log,results/logs/experiments/probe_diagnostic_oracle_multi5_20260724_0035.log
probe,probe_diagnostic_report_20260724_0112.log,1108,2026-07-23T17:13:15.099174+00:00,7995b861e8003471f774650c7e283bb366dbe172f3671a3e491ea1253461b42c,/data/mini-train-sys/artifacts/logs/probe_diagnostic_report_20260724_0112.log,results/logs/experiments/probe_diagnostic_report_20260724_0112.log
probe,probe_diagnostic_report_export_20260724_0119.log,94,2026-07-23T17:19:20.131685+00:00,5d47a2cdd5490e148cceb6b9e941902a9c8550f931a9fa4a0a60821e31133825,/data/mini-train-sys/artifacts/logs/probe_diagnostic_report_export_20260724_0119.log,results/logs/experiments/probe_diagnostic_report_export_20260724_0119.log
probe,probe_diagnostic_report_r2_20260724_0113.log,3061,2026-07-23T17:15:04.130241+00:00,db44c8e24a9d9ff7f4502d961af6e6bf559b2eb06ed8aeb9652e8747836fd013,/data/mini-train-sys/artifacts/logs/probe_diagnostic_report_r2_20260724_0113.log,results/logs/experiments/probe_diagnostic_report_r2_20260724_0113.log
probe,probe_diagnostic_routes_multi5_20260724_0035.log,63248,2026-07-23T16:38:48.573110+00:00,f024f3fb4b20af14628c8a3c28e3b82ea83002b137ba6d29611c4ae6074b1f8b,/data/mini-train-sys/artifacts/logs/probe_diagnostic_routes_multi5_20260724_0035.log,results/logs/experiments/probe_diagnostic_routes_multi5_20260724_0035.log
probe,probe_diagnostics_export2_20260724_0044.log,75,2026-07-23T16:43:00.381694+00:00,0b88dea0b474a9c87700f5222f58b3666592236b794df2387a17d01117084843,/data/mini-train-sys/artifacts/logs/probe_diagnostics_export2_20260724_0044.log,results/logs/experiments/probe_diagnostics_export2_20260724_0044.log
probe,probe_diagnostics_export_20260724_0042.log,75,2026-07-23T16:41:56.594587+00:00,0b88dea0b474a9c87700f5222f58b3666592236b794df2387a17d01117084843,/data/mini-train-sys/artifacts/logs/probe_diagnostics_export_20260724_0042.log,results/logs/experiments/probe_diagnostics_export_20260724_0042.log
