condition,split,task,kind,target,attribute,position,accuracy,examples,classes
multi5_permute,person_held_out_validation,q_birth_date_first,q,first,birth_date,0,0.9974061250686646,50118,12
multi5_permute,probe_train_recall,p_birth_city_first,p,first,birth_city,0,0.996543824672699,249410,21
multi5_permute,probe_train_recall,p_birth_city_first,p,first,birth_city,1,0.9997915029525757,249410,21
multi5_permute,probe_train_recall,p_birth_city_first,p,first,birth_city,2,0.9998797178268433,249410,21
multi5_permute,probe_train_recall,p_birth_city_first,p,first,birth_city,3,0.9999037981033325,249410,21
multi5_permute,probe_train_recall,p_birth_city_first,p,first,birth_city,4,0.9999398589134216,249410,21
multi5_permute,probe_train_recall,p_birth_city_first,p,first,birth_city,5,0.9999198317527771,249410,21
multi5_permute,person_held_out_validation,p_birth_city_first,p,first,birth_city,0,0.9952631592750549,250590,21
multi5_permute,person_held_out_validation,p_birth_city_first,p,first,birth_city,1,0.999580979347229,250590,21
multi5_permute,person_held_out_validation,p_birth_city_first,p,first,birth_city,2,0.9997445940971375,250590,21
multi5_permute,person_held_out_validation,p_birth_city_first,p,first,birth_city,3,0.9997965097427368,250590,21
multi5_permute,person_held_out_validation,p_birth_city_first,p,first,birth_city,4,0.9998563528060913,250590,21
multi5_permute,person_held_out_validation,p_birth_city_first,p,first,birth_city,5,0.9998204112052917,250590,21
multi5_permute,probe_train_recall,q_birth_city_first,q,first,birth_city,0,0.9978950619697571,49882,21
multi5_permute,person_held_out_validation,q_birth_city_first,q,first,birth_city,0,0.9941338300704956,50118,21
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,0,0.6133515238761902,249410,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,1,0.6440719962120056,249410,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,2,0.6480854749679565,249410,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,3,0.6500300765037537,249410,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,4,0.6512809991836548,249410,200
multi5_permute,probe_train_recall,p_birth_city_whole,p,whole,birth_city,5,0.648730993270874,249410,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,0,0.12942256033420563,250590,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,1,0.13150165975093842,250590,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,2,0.13202042877674103,250590,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,3,0.13200047612190247,250590,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,4,0.13323356211185455,250590,200
multi5_permute,person_held_out_validation,p_birth_city_whole,p,whole,birth_city,5,0.13350892066955566,250590,200
multi5_permute,probe_train_recall,q_birth_city_whole,q,whole,birth_city,0,0.7451184988021851,49882,200
multi5_permute,person_held_out_validation,q_birth_city_whole,q,whole,birth_city,0,0.12919509410858154,50118,200
multi5_permute,probe_train_recall,p_university_first,p,first,university,0,0.9975983500480652,249410,20
multi5_permute,probe_train_recall,p_university_first,p,first,university,1,0.999855637550354,249410,20
multi5_permute,probe_train_recall,p_university_first,p,first,university,2,0.9999198317527771,249410,20
multi5_permute,probe_train_recall,p_university_first,p,first,university,3,0.9999518990516663,249410,20
multi5_permute,probe_train_recall,p_university_first,p,first,university,4,0.9999679327011108,249410,20
multi5_permute,probe_train_recall,p_university_first,p,first,university,5,0.9999398589134216,249410,20
multi5_permute,person_held_out_validation,p_university_first,p,first,university,0,0.9967556595802307,250590,20
multi5_permute,person_held_out_validation,p_university_first,p,first,university,1,0.9997206330299377,250590,20
multi5_permute,person_held_out_validation,p_university_first,p,first,university,2,0.9998443722724915,250590,20
multi5_permute,person_held_out_validation,p_university_first,p,first,university,3,0.9999361634254456,250590,20
multi5_permute,person_held_out_validation,p_university_first,p,first,university,4,0.9999481439590454,250590,20
multi5_permute,person_held_out_validation,p_university_first,p,first,university,5,0.9999401569366455,250590,20
multi5_permute,probe_train_recall,q_university_first,q,first,university,0,0.9985164999961853,49882,20
multi5_permute,person_held_out_validation,q_university_first,q,first,university,0,0.9961091876029968,50118,20
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,0,0.6892987489700317,249410,300
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,1,0.7206447124481201,249410,300
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,2,0.7272042036056519,249410,300
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,3,0.7304879426956177,249410,300
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,4,0.7286556363105774,249410,300
multi5_permute,probe_train_recall,p_university_whole,p,whole,university,5,0.7253357768058777,249410,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,0,0.08531864732503891,250590,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,1,0.08649586886167526,250590,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,2,0.08673929423093796,250590,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,3,0.08710642904043198,250590,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,4,0.0869029089808464,250590,300
multi5_permute,person_held_out_validation,p_university_whole,p,whole,university,5,0.08703060448169708,250590,300
multi5_permute,probe_train_recall,q_university_whole,q,whole,university,0,0.8675273656845093,49882,300
multi5_permute,person_held_out_validation,q_university_whole,q,whole,university,0,0.08483977615833282,50118,300
multi5_permute,probe_train_recall,p_major_first,p,first,major,0,0.9952688217163086,249410,20
multi5_permute,probe_train_recall,p_major_first,p,first,major,1,0.9996231198310852,249410,20
multi5_permute,probe_train_recall,p_major_first,p,first,major,2,0.999923825263977,249410,20
multi5_permute,probe_train_recall,p_major_first,p,first,major,3,0.9999598860740662,249410,20
multi5_permute,probe_train_recall,p_major_first,p,first,major,4,0.9999919533729553,249410,20
multi5_permute,probe_train_recall,p_major_first,p,first,major,5,0.9999719262123108,249410,20
multi5_permute,person_held_out_validation,p_major_first,p,first,major,0,0.9938185811042786,250590,20
multi5_permute,person_held_out_validation,p_major_first,p,first,major,1,0.9994373321533203,250590,20
multi5_permute,person_held_out_validation,p_major_first,p,first,major,2,0.9997406005859375,250590,20
multi5_permute,person_held_out_validation,p_major_first,p,first,major,3,0.9998443722724915,250590,20
multi5_permute,person_held_out_validation,p_major_first,p,first,major,4,0.9999361634254456,250590,20
multi5_permute,person_held_out_validation,p_major_first,p,first,major,5,0.999900221824646,250590,20
multi5_permute,probe_train_recall,q_major_first,q,first,major,0,0.997754693031311,49882,20
multi5_permute,person_held_out_validation,q_major_first,q,first,major,0,0.9939742088317871,50118,20
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,0,0.7469347715377808,249410,100
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,1,0.7732568979263306,249410,100
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,2,0.7797762751579285,249410,100
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,3,0.784683883190155,249410,100
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,4,0.7881439924240112,249410,100
multi5_permute,probe_train_recall,p_major_whole,p,whole,major,5,0.7895433306694031,249410,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,0,0.4779680073261261,250590,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,1,0.4927690625190735,250590,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,2,0.49562233686447144,250590,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,3,0.49894648790359497,250590,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,4,0.5011652708053589,250590,100
multi5_permute,person_held_out_validation,p_major_whole,p,whole,major,5,0.5011732578277588,250590,100
multi5_permute,probe_train_recall,q_major_whole,q,whole,major,0,0.828374981880188,49882,100
multi5_permute,person_held_out_validation,q_major_whole,q,whole,major,0,0.47322317957878113,50118,100
multi5_permute,probe_train_recall,p_company_first,p,first,company,0,0.974531888961792,249410,20
multi5_permute,probe_train_recall,p_company_first,p,first,company,1,0.9837857484817505,249410,20
multi5_permute,probe_train_recall,p_company_first,p,first,company,2,0.9905176162719727,249410,20
multi5_permute,probe_train_recall,p_company_first,p,first,company,3,0.9949520826339722,249410,20
multi5_permute,probe_train_recall,p_company_first,p,first,company,4,0.9979792237281799,249410,20
multi5_permute,probe_train_recall,p_company_first,p,first,company,5,0.9993384480476379,249410,20
multi5_permute,person_held_out_validation,p_company_first,p,first,company,0,0.9739135503768921,250590,20
multi5_permute,person_held_out_validation,p_company_first,p,first,company,1,0.9831996560096741,250590,20
multi5_permute,person_held_out_validation,p_company_first,p,first,company,2,0.9897641539573669,250590,20
multi5_permute,person_held_out_validation,p_company_first,p,first,company,3,0.9944730401039124,250590,20
multi5_permute,person_held_out_validation,p_company_first,p,first,company,4,0.9978291392326355,250590,20
multi5_permute,person_held_out_validation,p_company_first,p,first,company,5,0.9992218613624573,250590,20
multi5_permute,probe_train_recall,q_company_first,q,first,company,0,0.9768854379653931,49882,20
